,Rk_g_y1,Player,Age_g_y1,Team_g_y1,Pos_g_y1,G_g_y1,GS_g_y1,MP_g_y1,FG_y1,FGA_y1,FG%_y1,3P_y1,3PA_y1,3P%_y1,2P_y1,2PA_y1,2P%_y1,eFG%_y1,FT_y1,FTA_y1,FT%_y1,ORB_y1,DRB_y1,TRB_y1,AST_y1,STL_y1,BLK_y1,TOV_y1,PF_y1,PTS_y1,Season_y1,Age_a_y1,MP_a_y1,PER_y1,TS%_y1,3PAr_y1,FTr_y1,ORB%_y1,DRB%_y1,TRB%_y1,AST%_y1,STL%_y1,BLK%_y1,TOV%_y1,USG%_y1,OWS_y1,DWS_y1,WS_y1,WS/48_y1,OBPM_y1,DBPM_y1,BPM_y1,VORP_y1,FG_p_y1,FGA_p_y1,FG%_p_y1,3P_p_y1,3PA_p_y1,3P%_p_y1,2P_p_y1,2PA_p_y1,2P%_p_y1,eFG%_p_y1,FT_p_y1,FTA_p_y1,FT%_p_y1,ORB_p_y1,DRB_p_y1,TRB_p_y1,AST_p_y1,STL_p_y1,BLK_p_y1,TOV_p_y1,PF_p_y1,PTS_p_y1,ORtg_y1,DRtg_y1,AS_After_Year_Two,Images,team,logo,team_abbr
20,263.0,Collin Murray-Boyles,20.0,TOR,PF,57.0,22.0,21.9,3.5,6.0,0.579,0.3,0.9,0.34,3.2,5.1,0.62,0.604,1.2,1.9,0.657,2.3,2.7,5.0,1.9,0.9,0.9,1.0,2.6,8.5,2026,20.0,1246.0,16.4,0.621,0.146,0.316,12.0,14.0,13.0,11.7,2.0,4.1,13.2,15.5,2.1,1.9,4.0,0.154,-0.5,1.5,1.0,1.0,7.7,13.4,0.579,0.7,2.0,0.34,7.1,11.4,0.62,0.604,2.8,4.2,0.657,5.2,5.9,11.2,4.1,2.0,2.1,2.3,5.8,18.9,125.0,112.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642867.png,Toronto Raptors,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,TOR
21,32.0,Cooper Flagg,19.0,DAL,SF,70.0,70.0,33.5,8.0,17.1,0.468,1.0,3.5,0.295,7.0,13.6,0.513,0.498,4.0,4.9,0.827,1.2,5.4,6.7,4.5,1.2,0.9,2.3,2.0,21.0,2026,19.0,2344.0,17.9,0.548,0.204,0.286,3.9,17.0,10.5,21.5,1.7,2.3,10.7,26.9,1.3,2.5,3.8,0.078,1.0,0.4,1.4,2.0,11.3,24.0,0.468,1.4,4.9,0.295,9.8,19.1,0.513,0.498,5.7,6.9,0.827,1.7,7.6,9.4,6.4,1.7,1.3,3.2,2.9,29.6,110.0,115.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642843.png,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,DAL
22,497.0,Curtis Jones,24.0,DEN,SG,10.0,0.0,8.8,1.1,2.7,0.407,0.6,1.8,0.333,0.5,0.9,0.556,0.519,0.1,0.2,0.5,0.2,0.9,1.1,1.0,0.4,0.0,0.2,0.6,2.9,2026,24.0,88.0,10.8,0.52,0.667,0.074,2.7,10.9,7.0,14.7,2.2,0.0,6.7,14.7,0.1,0.1,0.1,0.072,-3.0,-0.5,-3.5,0.0,6.1,15.0,0.407,3.3,10.0,0.333,2.8,5.0,0.556,0.519,0.6,1.1,0.5,1.1,5.0,6.1,5.5,2.2,0.0,1.1,3.3,16.1,115.0,118.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642938.png,Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,DEN
23,462.0,DaRon Holmes,23.0,DEN,PF,25.0,6.0,8.4,1.2,2.4,0.508,0.8,1.8,0.444,0.4,0.6,0.688,0.672,0.4,0.6,0.786,0.3,1.1,1.4,0.6,0.0,0.2,0.5,0.8,3.7,2026,23.0,210.0,13.4,0.692,0.738,0.23,4.5,13.8,9.3,10.2,0.2,2.7,15.2,16.4,0.3,0.1,0.4,0.103,0.7,-1.2,-0.5,0.1,7.2,14.2,0.508,4.6,10.5,0.444,2.6,3.7,0.688,0.672,2.6,3.3,0.786,1.9,6.3,8.1,3.7,0.2,1.4,2.8,4.4,21.6,124.0,120.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1641747.png,Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,DEN
24,279.0,Damion Baugh,24.0,CHO,SG,15.0,2.0,24.7,2.8,8.7,0.323,0.8,3.7,0.214,2.0,4.9,0.405,0.369,0.9,1.0,0.867,0.9,2.4,3.3,3.7,1.0,0.1,2.1,1.5,7.3,2025,24.0,370.0,6.3,0.399,0.431,0.115,3.9,10.6,7.2,22.2,2.0,0.5,18.5,19.3,-0.8,0.2,-0.5,-0.069,-5.9,-1.2,-7.1,-0.5,5.6,17.3,0.323,1.6,7.4,0.214,4.0,9.8,0.405,0.369,1.7,2.0,0.867,1.9,4.8,6.6,7.4,2.0,0.3,4.1,2.9,14.5,87.0,118.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1641878.png,Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,CHO
25,247.0,Danny Wolf,21.0,BRK,PF,57.0,15.0,20.8,3.1,7.7,0.405,1.2,3.7,0.322,1.9,4.0,0.48,0.482,1.5,1.9,0.771,1.0,3.9,4.9,2.2,0.5,0.6,1.3,2.2,8.9,2026,21.0,1187.0,12.3,0.521,0.48,0.248,5.3,23.2,13.8,17.1,1.2,2.5,13.0,20.6,-0.2,1.0,0.8,0.032,-2.2,-0.3,-2.5,-0.2,7.4,18.3,0.405,2.8,8.8,0.322,4.6,9.5,0.48,0.482,3.5,4.5,0.771,2.4,9.3,11.7,5.3,1.2,1.3,3.0,5.2,21.2,105.0,118.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642874.png,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,BRK
26,498.0,David Jones García,24.0,SAS,SF,11.0,0.0,6.2,1.2,2.3,0.52,0.3,0.5,0.6,0.9,1.8,0.5,0.58,0.3,0.5,0.5,0.4,0.8,1.2,1.6,0.5,0.1,0.5,0.5,2.9,2026,24.0,68.0,20.9,0.579,0.2,0.24,6.5,13.8,10.3,37.2,4.2,1.3,15.3,20.2,0.1,0.1,0.3,0.205,2.6,3.8,6.4,0.1,9.2,17.7,0.52,2.1,3.5,0.6,7.1,14.1,0.5,0.58,2.1,4.2,0.5,2.8,6.4,9.2,12.7,4.2,0.7,3.5,4.2,22.6,123.0,106.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642357.png,San Antonio Spurs,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,SAS
27,172.0,Derik Queen,21.0,NOP,C,81.0,48.0,25.0,4.4,9.2,0.473,0.3,1.1,0.261,4.1,8.1,0.502,0.489,2.7,3.4,0.795,1.7,5.4,7.1,3.7,1.0,0.9,2.3,2.7,11.7,2026,21.0,2023.0,15.9,0.546,0.118,0.365,7.2,23.5,15.2,21.1,2.0,3.5,18.0,21.8,0.4,2.3,2.7,0.063,-1.5,0.7,-0.8,0.6,8.4,17.7,0.473,0.5,2.1,0.261,7.8,15.6,0.502,0.489,5.1,6.5,0.795,3.2,10.3,13.5,7.0,2.0,1.7,4.5,5.1,22.4,108.0,115.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642852.png,New Orleans Pelicans,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,NOP
28,340.0,Drake Powell,20.0,BRK,SG,63.0,24.0,21.0,2.3,5.7,0.402,0.8,2.9,0.28,1.5,2.8,0.528,0.473,1.1,1.2,0.896,0.3,1.4,1.8,1.4,0.6,0.2,1.0,1.4,6.5,2026,20.0,1320.0,7.3,0.521,0.508,0.215,1.8,8.4,4.9,10.3,1.3,1.0,13.3,14.9,-0.5,0.5,-0.1,-0.003,-4.6,-1.3,-6.0,-1.3,5.4,13.4,0.402,1.9,6.8,0.28,3.5,6.6,0.528,0.473,2.6,2.9,0.896,0.8,3.4,4.2,3.4,1.3,0.5,2.2,3.3,15.3,102.0,122.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642962.png,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,BRK
29,389.0,Dylan Cardwell,24.0,SAC,C,44.0,1.0,20.6,2.4,4.1,0.587,0.0,0.1,0.5,2.3,4.0,0.589,0.592,0.6,1.2,0.51,3.3,4.2,7.5,1.4,0.7,1.5,0.9,3.7,5.4,2026,24.0,907.0,15.8,0.591,0.022,0.285,17.6,23.5,20.5,9.2,1.6,6.8,16.2,11.3,1.4,0.9,2.3,0.122,-2.5,0.6,-1.9,0.0,5.6,9.5,0.587,0.1,0.2,0.5,5.5,9.3,0.589,0.592,1.4,2.7,0.51,7.8,9.9,17.7,3.3,1.6,3.6,2.1,8.6,12.7,127.0,116.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642928.png,Sacramento Kings,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,SAC
