,Player,Team,Position,Age,Images,Team_Logo,Allstar_Prob
73,Tyler Kolek,NYK,PG,24.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642278.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,0.0057638275466419375
20,Drew Timme,BRK,PF,25.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631166.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,0.0057638275466419375
39,Justin Edwards,PHI,SF,22.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642348.png,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,0.0057638275466419375
17,Devin Carter,SAC,PG,23.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642269.png,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,0.0057638275466419375
23,Enrique Freeman,IND,PF,25.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642402.png,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,0.004620970403784795
74,Tyler Smith,MIL,PF,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641890.png,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,0.0024851390220517735
58,RayJ Dennis,IND,PG,24.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642484.png,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,0.0024851390220517735
70,Trey Alexander,DEN,SG,22.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641725.png,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,0.0024851390220517735
40,KJ Simpson,CHO,PG,23.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642354.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,0.0024851390220517735
4,Antonio Reeves,NOP,SG,25.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641810.png,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,0.0024851390220517735
7,Bobi Klintman,DET,SF,22.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641752.png,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,0.0024851390220517735
38,Jonathan Mogbo,TOR,PF,24.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642367.png,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,0.0024851390220517735
37,Johnny Furphy,IND,SG,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642277.png,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,0.0024851390220517735
34,Jaylen Clark,MIN,SG,24.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641740.png,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,0.0024851390220517735
32,Jamison Battle,TOR,SF,24.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642419.png,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,0.0024851390220517735
30,Jahmir Young,CHI,PG,25.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642443.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,0.0024851390220517735
49,Malevy Leons,OKC,SF,26.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642502.png,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,0.0024851390220517735
21,Elijah Harkless,UTA,SG,25.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641989.png,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,0.0024851390220517735
18,Dillon Jones,OKC,SF,24.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641794.png,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,0.0024851390220517735
15,Dalton Knecht,LAL,SF,24.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642261.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,0.0024851390220517735
11,Cam Christie,LAC,SG,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642353.png,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg,0.0013422818791946308
0,AJ Johnson,2TM,SG,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642358.png,,0.001142857142857143
66,Terrence Shannon Jr.,MIN,SG,25.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630545.png,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,0.001142857142857143
9,Bronny James,LAL,SG,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642355.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,0.0
76,Yuki Kawamura,MEM,PG,24.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642530.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,0.0
55,Pacôme Dadiet,NYK,SG,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642359.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,0.0
25,Isaac Jones,SAC,PF,25.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642403.png,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,0.0
42,Keaton Wallace,ATL,PG,26.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630811.png,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,0.0
45,Kevin McCullar Jr.,NYK,SF,24.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641755.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,0.0
48,Luke Travers,CLE,SG,24.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631247.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,0.0
27,Isaiah Crawford,SAC,SF,24.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642384.png,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,0.0
